+	प्लस
-	माइनस
/	भाग
÷	भाग
:	भाग
×	गुणा
*	गुणा
·	गुणा
=	बराबर
(	खुला ब्रैकेट
)	बन्द ब्रैकेट
&	र
^	कैरेट
%	प्रतिशत
$	डलर
#	ह्यास
@	एट
!	विस्मयादिबोधक
<	सानो
>	ठुलो
,	अल्पविराम
.	दशमलव
?	प्रश्न चिह्न

