.	डट
-	ड्यास
_	अन्डरस्कोर
!	विस्मयादिबोधक चिह्न
#	नम्बर साइन
$	डलर साइन
%	प्रतिशत
&	एम्परसेन्ड
'	कोट
*	एस्टेरिस्क
+	प्लस
/	स्ल्यास
=	बराबर चिह्न
?	प्रश्न चिह्न
^	सर्कमफ्लेक्स
`	राइट सिंगल कोट
|	भर्टिकल बार
~	टिल्ड
,	अल्पविराम

