I	एक
CDXXI	चार सौ इक्कीस
CDXXII	चार सौ बाईस
CDXXIII	चार सौ तेईस
CDXXIV	चार सौ चौबीस
CDXXV	चार सौ पच्चीस
CDXXVI	चार सौ छब्बीस
CDXXVII	चार सौ सत्ताईस
CDXXVIII	चार सौ अट्ठाईस
CDXXIX	चार सौ उनतीस
CDXXX	चार सौ तीस
CDXXXI	चार सौ इकतीस
CDXXXII	चार सौ बत्तीस
CDXXXIII	चार सौ तैंतीस
CDXXXIV	चार सौ चौंतीस
CDXXXV	चार सौ पैंतीस
CDXXXVI	चार सौ छत्तीस
CDXXXVII	चार सौ सैंतीस
CDXXXVIII	चार सौ अड़तीस
CDXXXIX	चार सौ उनतालीस
CDXL	चार सौ चालीस
CDXLI	चार सौ इकतालीस
CDXLII	चार सौ बयालीस
CDXLIII	चार सौ तैंतालीस
CDXLIV	चार सौ चौवालीस
CDXLV	चार सौ पैंतालीस
CDXLVI	चार सौ छियालीस
CDXLVII	चार सौ सैंतालीस
CDXLVIII	चार सौ अड़तालीस
CDXLIX	चार सौ उनचास
CDL	चार सौ पचास
CDLI	चार सौ इक्यावन
CDLII	चार सौ बावन
CDLIII	चार सौ तिरेपन
CDLIV	चार सौ चौवन
CDLV	चार सौ पचपन
CDLVI	चार सौ छप्पन
CDLVII	चार सौ सत्तावन
CDLVIII	चार सौ अट्ठावन
CDLIX	चार सौ उनसठ
CDLX	चार सौ साठ
CDLXI	चार सौ इकसठ
CDLXII	चार सौ बासठ
CDLXIII	चार सौ तिरेसठ
CDLXIV	चार सौ चौंसठ
CDLXV	चार सौ पैंसठ
CDLXVI	चार सौ छियासठ
CDLXVII	चार सौ सड़सठ
CDLXVIII	चार सौ अड़सठ
CDLXIX	चार सौ उनहत्तर
CDLXX	चार सौ सत्तर
CDLXXI	चार सौ इकहत्तर
CDLXXII	चार सौ बहत्तर
CDLXXIII	चार सौ तिहत्तर
CDLXXIV	चार सौ चौहत्तर
CDLXXV	चार सौ पचहत्तर
CDLXXVI	चार सौ छिहत्तर
CDLXXVII	चार सौ सतहत्तर
CDLXXVIII	चार सौ अठहत्तर
CDLXXIX	चार सौ उनासी
CDLXXX	चार सौ अस्सी
CDLXXXI	चार सौ इक्यासी
CDLXXXII	चार सौ बयासी
CDLXXXIII	चार सौ तिरासी
CDLXXXIV	चार सौ चौरासी
CDLXXXV	चार सौ पचासी
CDLXXXVI	चार सौ छियासी
CDLXXXVII	चार सौ सत्तासी
CDLXXXVIII	चार सौ अट्ठासी
CDLXXXIX	चार सौ नवासी
CDXC	चार सौ नब्बे
CDXCI	चार सौ इक्यानबे
CDXCII	चार सौ बानबे
CDXCIII	चार सौ तिरानबे
CDXCIV	चार सौ चौरानबे
CDXCV	चार सौ पंचानबे
CDXCVI	चार सौ छियानबे
CDXCVII	चार सौ सत्तानबे
CDXCVIII	चार सौ अट्ठानबे
CDXCIX	चार सौ निन्यानबे
D	पाँच सौ
DI	पाँच सौ एक
DII	पाँच सौ दो
DIII	पाँच सौ तीन
DIV	पाँच सौ चार
DV	पाँच सौ पाँच
DVI	पाँच सौ छह
DVII	पाँच सौ सात
DVIII	पाँच सौ आठ
DIX	पाँच सौ नौ
DX	पाँच सौ दस
DXI	पाँच सौ ग्यारह
DXII	पाँच सौ बारह
DXIII	पाँच सौ तेरह
DXIV	पाँच सौ चौदह
DXV	पाँच सौ पंद्रह
DXVI	पाँच सौ सोलह
DXVII	पाँच सौ सत्रह
DXVIII	पाँच सौ अठारह
DXIX	पाँच सौ उन्नीस
DXX	पाँच सौ बीस
DXXI	पाँच सौ इक्कीस
DXXII	पाँच सौ बाईस
DXXIII	पाँच सौ तेईस
DXXIV	पाँच सौ चौबीस
DXXV	पाँच सौ पच्चीस
DXXVI	पाँच सौ छब्बीस
DXXVII	पाँच सौ सत्ताईस
DXXVIII	पाँच सौ अट्ठाईस
DXXIX	पाँच सौ उनतीस
DXXX	पाँच सौ तीस
DXXXI	पाँच सौ इकतीस
DXXXII	पाँच सौ बत्तीस
DXXXIII	पाँच सौ तैंतीस
DXXXIV	पाँच सौ चौंतीस
DXXXV	पाँच सौ पैंतीस
DXXXVI	पाँच सौ छत्तीस
DXXXVII	पाँच सौ सैंतीस
DXXXVIII	पाँच सौ अड़तीस
DXXXIX	पाँच सौ उनतालीस
DXL	पाँच सौ चालीस
DXLI	पाँच सौ इकतालीस
DXLII	पाँच सौ बयालीस
DXLIII	पाँच सौ तैंतालीस
DXLIV	पाँच सौ चौवालीस
DXLV	पाँच सौ पैंतालीस
DXLVI	पाँच सौ छियालीस
DXLVII	पाँच सौ सैंतालीस
DXLVIII	पाँच सौ अड़तालीस
DXLIX	पाँच सौ उनचास
DL	पाँच सौ पचास
DLI	पाँच सौ इक्यावन
DLII	पाँच सौ बावन
DLIII	पाँच सौ तिरेपन
DLIV	पाँच सौ चौवन
DLV	पाँच सौ पचपन
DLVI	पाँच सौ छप्पन
DLVII	पाँच सौ सत्तावन
DLVIII	पाँच सौ अट्ठावन
DLIX	पाँच सौ उनसठ
DLX	पाँच सौ साठ
DLXI	पाँच सौ इकसठ
DLXII	पाँच सौ बासठ
DLXIII	पाँच सौ तिरेसठ
DLXIV	पाँच सौ चौंसठ
DLXV	पाँच सौ पैंसठ
DLXVI	पाँच सौ छियासठ
DLXVII	पाँच सौ सड़सठ
DLXVIII	पाँच सौ अड़सठ
DLXIX	पाँच सौ उनहत्तर
DLXX	पाँच सौ सत्तर
DLXXI	पाँच सौ इकहत्तर
DLXXII	पाँच सौ बहत्तर
DLXXIII	पाँच सौ तिहत्तर
DLXXIV	पाँच सौ चौहत्तर
DLXXV	पाँच सौ पचहत्तर
DLXXVI	पाँच सौ छिहत्तर
DLXXVII	पाँच सौ सतहत्तर
DLXXVIII	पाँच सौ अठहत्तर
DLXXIX	पाँच सौ उनासी
DLXXX	पाँच सौ अस्सी
DLXXXI	पाँच सौ इक्यासी
DLXXXII	पाँच सौ बयासी
DLXXXIII	पाँच सौ तिरासी
DLXXXIV	पाँच सौ चौरासी
DLXXXV	पाँच सौ पचासी
DLXXXVI	पाँच सौ छियासी
DLXXXVII	पाँच सौ सत्तासी
DLXXXVIII	पाँच सौ अट्ठासी
DLXXXIX	पाँच सौ नवासी
DXC	पाँच सौ नब्बे
DXCI	पाँच सौ इक्यानबे
DXCII	पाँच सौ बानबे
DXCIII	पाँच सौ तिरानबे
DXCIV	पाँच सौ चौरानबे
DXCV	पाँच सौ पंचानबे
DXCVI	पाँच सौ छियानबे
DXCVII	पाँच सौ सत्तानबे
DXCVIII	पाँच सौ अट्ठानबे
DXCIX	पाँच सौ निन्यानबे
DC	छह सौ
DCI	छह सौ एक
DCII	छह सौ दो
DCIII	छह सौ तीन
DCIV	छह सौ चार
DCV	छह सौ पाँच
DCVI	छह सौ छह
DCVII	छह सौ सात
DCVIII	छह सौ आठ
DCIX	छह सौ नौ
DCX	छह सौ दस
DCXI	छह सौ ग्यारह
DCXII	छह सौ बारह
DCXIII	छह सौ तेरह
DCXIV	छह सौ चौदह
DCXV	छह सौ पंद्रह
DCXVI	छह सौ सोलह
DCXVII	छह सौ सत्रह
DCXVIII	छह सौ अठारह
DCXIX	छह सौ उन्नीस
DCXX	छह सौ बीस
DCXXI	छह सौ इक्कीस
DCXXII	छह सौ बाईस
DCXXIII	छह सौ तेईस
DCXXIV	छह सौ चौबीस
DCXXV	छह सौ पच्चीस
DCXXVI	छह सौ छब्बीस
DCXXVII	छह सौ सत्ताईस
DCXXVIII	छह सौ अट्ठाईस
DCXXIX	छह सौ उनतीस
DCXXX	छह सौ तीस
DCXXXI	छह सौ इकतीस
DCXXXII	छह सौ बत्तीस
DCXXXIII	छह सौ तैंतीस
DCXXXIV	छह सौ चौंतीस
DCXXXV	छह सौ पैंतीस
DCXXXVI	छह सौ छत्तीस
DCXXXVII	छह सौ सैंतीस
DCXXXVIII	छह सौ अड़तीस
DCXXXIX	छह सौ उनतालीस
DCXL	छह सौ चालीस
DCXLI	छह सौ इकतालीस
DCXLII	छह सौ बयालीस
DCXLIII	छह सौ तैंतालीस
DCXLIV	छह सौ चौवालीस
DCXLV	छह सौ पैंतालीस
DCXLVI	छह सौ छियालीस
DCXLVII	छह सौ सैंतालीस
DCXLVIII	छह सौ अड़तालीस
DCXLIX	छह सौ उनचास
DCL	छह सौ पचास
DCLI	छह सौ इक्यावन
DCLII	छह सौ बावन
DCLIII	छह सौ तिरेपन
DCLIV	छह सौ चौवन
DCLV	छह सौ पचपन
DCLVI	छह सौ छप्पन
DCLVII	छह सौ सत्तावन
DCLVIII	छह सौ अट्ठावन
DCLIX	छह सौ उनसठ
DCLX	छह सौ साठ
DCLXI	छह सौ इकसठ
DCLXII	छह सौ बासठ
DCLXIII	छह सौ तिरेसठ
DCLXIV	छह सौ चौंसठ
DCLXV	छह सौ पैंसठ
DCLXVI	छह सौ छियासठ
DCLXVII	छह सौ सड़सठ
DCLXVIII	छह सौ अड़सठ
DCLXIX	छह सौ उनहत्तर
DCLXX	छह सौ सत्तर
DCLXXI	छह सौ इकहत्तर
DCLXXII	छह सौ बहत्तर
DCLXXIII	छह सौ तिहत्तर
DCLXXIV	छह सौ चौहत्तर
DCLXXV	छह सौ पचहत्तर
DCLXXVI	छह सौ छिहत्तर
DCLXXVII	छह सौ सतहत्तर
DCLXXVIII	छह सौ अठहत्तर
DCLXXIX	छह सौ उनासी
DCLXXX	छह सौ अस्सी
DCLXXXI	छह सौ इक्यासी
DCLXXXII	छह सौ बयासी
DCLXXXIII	छह सौ तिरासी
DCLXXXIV	छह सौ चौरासी
DCLXXXV	छह सौ पचासी
DCLXXXVI	छह सौ छियासी
DCLXXXVII	छह सौ सत्तासी
DCLXXXVIII	छह सौ अट्ठासी
DCLXXXIX	छह सौ नवासी
DCXC	छह सौ नब्बे
DCXCI	छह सौ इक्यानबे
DCXCII	छह सौ बानबे
DCXCIII	छह सौ तिरानबे
DCXCIV	छह सौ चौरानबे
DCXCV	छह सौ पंचानबे
DCXCVI	छह सौ छियानबे
DCXCVII	छह सौ सत्तानबे
DCXCVIII	छह सौ अट्ठानबे
DCXCIX	छह सौ निन्यानबे
DCC	सात सौ
DCCI	सात सौ एक
DCCII	सात सौ दो
DCCIII	सात सौ तीन
DCCIV	सात सौ चार
DCCV	सात सौ पाँच
DCCVI	सात सौ छह
DCCVII	सात सौ सात
DCCVIII	सात सौ आठ
DCCIX	सात सौ नौ
DCCX	सात सौ दस
DCCXI	सात सौ ग्यारह
DCCXII	सात सौ बारह
DCCXIII	सात सौ तेरह
DCCXIV	सात सौ चौदह
DCCXV	सात सौ पंद्रह
DCCXVI	सात सौ सोलह
DCCXVII	सात सौ सत्रह
DCCXVIII	सात सौ अठारह
DCCXIX	सात सौ उन्नीस
DCCXX	सात सौ बीस
DCCXXI	सात सौ इक्कीस
DCCXXII	सात सौ बाईस
DCCXXIII	सात सौ तेईस
DCCXXIV	सात सौ चौबीस
DCCXXV	सात सौ पच्चीस
DCCXXVI	सात सौ छब्बीस
DCCXXVII	सात सौ सत्ताईस
DCCXXVIII	सात सौ अट्ठाईस
DCCXXIX	सात सौ उनतीस
DCCXXX	सात सौ तीस
DCCXXXI	सात सौ इकतीस
DCCXXXII	सात सौ बत्तीस
DCCXXXIII	सात सौ तैंतीस
DCCXXXIV	सात सौ चौंतीस
DCCXXXV	सात सौ पैंतीस
DCCXXXVI	सात सौ छत्तीस
DCCXXXVII	सात सौ सैंतीस
DCCXXXVIII	सात सौ अड़तीस
DCCXXXIX	सात सौ उनतालीस
DCCXL	सात सौ चालीस
DCCXLI	सात सौ इकतालीस
DCCXLII	सात सौ बयालीस
DCCXLIII	सात सौ तैंतालीस
DCCXLIV	सात सौ चौवालीस
DCCXLV	सात सौ पैंतालीस
DCCXLVI	सात सौ छियालीस
DCCXLVII	सात सौ सैंतालीस
DCCXLVIII	सात सौ अड़तालीस
DCCXLIX	सात सौ उनचास
DCCL	सात सौ पचास
DCCLI	सात सौ इक्यावन
DCCLII	सात सौ बावन
DCCLIII	सात सौ तिरेपन
DCCLIV	सात सौ चौवन
DCCLV	सात सौ पचपन
DCCLVI	सात सौ छप्पन
DCCLVII	सात सौ सत्तावन
DCCLVIII	सात सौ अट्ठावन
DCCLIX	सात सौ उनसठ
DCCLX	सात सौ साठ
DCCLXI	सात सौ इकसठ
DCCLXII	सात सौ बासठ
DCCLXIII	सात सौ तिरेसठ
DCCLXIV	सात सौ चौंसठ
DCCLXV	सात सौ पैंसठ
DCCLXVI	सात सौ छियासठ
DCCLXVII	सात सौ सड़सठ
DCCLXVIII	सात सौ अड़सठ
DCCLXIX	सात सौ उनहत्तर
DCCLXX	सात सौ सत्तर
DCCLXXI	सात सौ इकहत्तर
DCCLXXII	सात सौ बहत्तर
DCCLXXIII	सात सौ तिहत्तर
DCCLXXIV	सात सौ चौहत्तर
DCCLXXV	सात सौ पचहत्तर
DCCLXXVI	सात सौ छिहत्तर
DCCLXXVII	सात सौ सतहत्तर
DCCLXXVIII	सात सौ अठहत्तर
DCCLXXIX	सात सौ उनासी
DCCLXXX	सात सौ अस्सी
DCCLXXXI	सात सौ इक्यासी
DCCLXXXII	सात सौ बयासी
DCCLXXXIII	सात सौ तिरासी
DCCLXXXIV	सात सौ चौरासी
DCCLXXXV	सात सौ पचासी
DCCLXXXVI	सात सौ छियासी
DCCLXXXVII	सात सौ सत्तासी
DCCLXXXVIII	सात सौ अट्ठासी
DCCLXXXIX	सात सौ नवासी
DCCXC	सात सौ नब्बे
DCCXCI	सात सौ इक्यानबे
DCCXCII	सात सौ बानबे
DCCXCIII	सात सौ तिरानबे
DCCXCIV	सात सौ चौरानबे
DCCXCV	सात सौ पंचानबे
DCCXCVI	सात सौ छियानबे
DCCXCVII	सात सौ सत्तानबे
DCCXCVIII	सात सौ अट्ठानबे
DCCXCIX	सात सौ निन्यानबे
DCCC	आठ सौ
DCCCI	आठ सौ एक
DCCCII	आठ सौ दो
DCCCIII	आठ सौ तीन
DCCCIV	आठ सौ चार
DCCCV	आठ सौ पाँच
DCCCVI	आठ सौ छह
DCCCVII	आठ सौ सात
DCCCVIII	आठ सौ आठ
DCCCIX	आठ सौ नौ
DCCCX	आठ सौ दस
DCCCXI	आठ सौ ग्यारह
