രാമൻ
കൃഷ്ണൻ
അർജുനൻ
വിഷ്ണു
ശിവൻ
ഹനുമാൻ
ലക്ഷ്മണൻ
ഭരതൻ
യുധിഷ്ഠിരൻ
ഭീമൻ
നകുലൻ
സഹദേവൻ
രാജു
അമിത്
രാഹുൽ
അജയ്
വികാസ്
മോഹൻ
സുരേഷ്
രമേഷ്
മഹേഷ്
ഗണേഷ്
കുമാർ
അനിൽ
സുനിൽ
രവി
അമർ
ദീപക്
രോഹിത്
അക്ഷയ്
നീൽ
അഭിഷേക്
ആദിത്യ
വരുൺ
കരൺ
യശ്
പ്രണവ്
ധ്രുവ്
ആര്യൻ
വിഹാൻ
അനവ്
ആരവ്
അയാൻ
അനായ്
ആദവ്
ആര്യ
