സീത
രാധ
ദ്രൗപദി
ലക്ഷ്മി
പാർവതി
സരസ്വതി
ദുർഗ
കാളി
ഗംഗ
യമുന
ഗീത
മീര
പ്രിയ
അഞ്ജലി
കവിത
സുനീത
നീത
രീത
അനീത
സ്വാതി
അനുഷ്ക
ദീപിക
കാതറീന
പ്രിയങ്ക
ആലിയ
സോനം
കങ്കണ
വിദ്യ
താപസി
ശ്രദ്ധ
കൃതി
കീർത്തി
മാധുരി
ഐശ്വര്യ
രാണി
രേഖ
ഹേമ
ജയ
ഷബാന
സ്മൃതി
സ്വര
രാധിക
അദിതി
അനന്യ
അന്വി
ആരാധ്യ
ആരോഹി
ആര്യ
ഇശാനി
ഈഷ
ഉർവശി
ഋച
ഏഷ
ഐശ്വര്യ
ഓജസ്വി
ഔഷി
കനിഷ്ക
കന്യ
കപില
കമലിനി
കല്യാണി
കാശ്വി
കുസും
കൃപ
കൃഷ്ണ
ഖുഷി
ഗാർഗി
ഗായത്രി
ഗൗരി
ഗൗതമി
ഘനശ്യാമ
ചന്ദ്രിക
ചന്ദ്രിമ
ചാരു
ചിത്ര
ചേതന
ഛായ
ജാനകി
ജ്യോതി
ജ്യോത്സ്ന
തന്വി
താര
തൃഷ്ണ
ദിവ്യ
ദീപ്തി
ധനിഷ്ഠ
ധാര
ധ്രുവ
നന്ദിനി
നയന
നവ്യ
നിഷ
നീലിമ
നീരജ
പദ്മ
പൂജ
പ്രഭ
പ്രീതി
ബിന്ദു
ഭാഗ്യശ്രീ
ഭാവന
ഭൂമി
മധു
മധുരിമ
മനസ
മനിഷ
മായ
മാലതി
മാലിനി
മുക്ത
മൃണാൽ
മേഘ
മോഹിനി
യശസ്വിനി
യാമിനി
രാജശ്രീ
രാജി
രാഷി
രിതു
രിയ
രുചി
രൂപ
രോഹിണി
ലത
ലവണ്യ
ലലിത
വന്ദന
വർഷ
വസുന്ധര
വിഭ
വിമല
വീണ
വൃന്ദ
ശക്തി
ശാന്തി
ശാലിനി
ശിഖ
ശിവാനി
ശുഭ
ശ്രേയ
ശ്വേത
സപ്ന
സരിത
സരോജ്
സരോജിനി
സവിത
സാധന
സാനിയ
സാരിക
സിദ്ധി
സുധ
സുനന്ദ
സുപ്രിയ
സുമൻ
സുമിത്ര
സുരഭി
സുശീല
സ്വപ്ന
ഹംസ
ഹംസിക
ഹർഷ
ഹിമാനി
