&	और
#	हैश
@	एट
§	अनुभाग
™	ट्रेडमार्क
®	रजिस्टर्ड ट्रेडमार्क
©	कपीराइट
_	अंडरस्कोर
%	प्रतिशत
*	तारा
+	प्लस
-	माइनस
/	स्लैश
=	बराबर
^	सर्कमफ्लेक्स
|	वर्टिकल बार
~	टिल्ड
$	डलार
£	पाउंड
€	युरो
₹	रुपै
₩	वोन
¥	येन
°	डिग्री
º	डिग्री
