ৰাম
কৃষ্ণ
অৰ্জুন
বিষ্ণু
শিৱ
হনুমান
লক্ষ্মণ
ভৰত
ৰাজ
অমিত
ৰাহুল
অজয়
বিকাশ
মোহন
সুৰেশ
ৰমেশ
মহেশ
গণেশ
কুমাৰ
অনিল
সুনীল
ৰবি
অমৰ
দীপক
ৰোহিত
