+	प्लस
-	माइनस
/	भाग
÷	भाग
:	भाग
×	गुणा
*	गुणा
·	गुणा
=	बराबर
(	खुला ब्रैकेट
)	बंद ब्रैकेट
&	और
^	कैरेट
%	प्रतिशत
$	डलार
#	हैश
@	एट
!	विस्मयादिबोधक
<	छोटा
>	बड़ा
,	कमा
.	दशमलव
?	प्रश्न चिन्ह

