ড্ৰাইভ
চিম
আৰ্লি
এক্সেছ
প্ৰ'গ্ৰাম
আৰটিএক্স	RTX
ডেভেল'পাৰ
বেছপ'ড	BASEPOD
কিউডা	CUDA
চিভি
এণ্টাৰপ্ৰাইজ
চাৰ্ভিচেজ
এনভিডিয়া	NVIDIA
ডিজিএক্স	DGX
প্ৰ'
হেল্প
