&	और
#	हैश
@	एट
§	अनुभाग
™	ट्रेडमार्क
®	रजिस्टर्ड ट्रेडमार्क
©	कॉपीराइट
_	अंडरस्कोर
%	प्रतिशत
*	तारा
+	प्लस
-	माइनस
/	स्लैश
=	बराबर
^	सर्कमफ्लेक्स
|	वर्टिकल बार
~	टिल्ड
$	डॉलर
£	पाउंड
€	यूरो
₹	रुपए
₩	वोन
¥	येन
°	डिग्री
º	डिग्री
